sep=;
ACCELERATION X;ACCELERATION Y;ACCELERATION Z;LINEAR_ACCELERATION X;LINEAR_ACCELERATION Y;LINEAR_ACCELERATION Z;GRAVITY X;GRAVITY Y;GRAVITY Z;GYROSCOPE X;GYROSCOPE Y;GYROSCOPE Z;Data
0.028431;0.19827;9.84585;-0.044592;0.00808;0.04145;0.073023;0.190189;9.80441;-0.000832;-0.001099;-0.000166;2014-09-09 18:27:28:100
-0.311545;-0.41704;13.9567;-0.38397;-0.607828;4.15229;0.072425;0.190788;9.80441;-0.535595;1.51264;0.062684;2014-09-09 18:27:28:700
5.20948;-3.77132;4.60495;8.07295;-3.08403;-4.74905;-2.86347;-0.687286;9.354;-0.763713;-3.77847;-0.537031;2014-09-09 18:27:29:100
3.28694;-3.85033;7.6815;-2.16316;-0.477793;0.259172;5.4501;-3.37253;7.42233;0.778763;1.90153;0.137287;2014-09-09 18:27:29:700
0.030825;0.210241;9.9105;0.449362;0.392948;0.114622;-0.418536;-0.182708;9.79588;-0.011669;-0.046839;-0.000131;2014-09-09 18:27:30:100
-0.021847;0.267702;9.86501;-0.108936;0.144251;0.059556;0.087089;0.123451;9.80545;-0.002063;-0.002104;0.000931;2014-09-09 18:27:30:700
0.018854;0.274884;9.95359;-0.05776;0.12794;0.148441;0.076614;0.146944;9.80515;0.002206;-0.005303;0.003059;2014-09-09 18:27:31:100
0.004489;0.227;9.91768;-0.067337;0.07033;0.112677;0.071826;0.156671;9.805;0.001141;2.3e-005;-0.000136;2014-09-09 18:27:31:700
-0.009876;0.234183;9.92965;-0.075866;0.0621;0.124798;0.06599;0.172083;9.80485;-0.002031;1.5e-005;0.000924;2014-09-09 18:27:32:100
0.026037;0.210241;10.0039;-0.038307;0.030227;0.199168;0.064344;0.180014;9.8047;-0.002031;-0.004246;0.000924;2014-09-09 18:27:32:700
0.030825;0.231789;9.89613;-0.032022;0.046088;0.091578;0.062848;0.1857;9.80455;0.001212;-0.001068;-0.00015;2014-09-09 18:27:33:100
-0.019453;0.262913;9.84825;-0.080804;0.07003;0.043694;0.061351;0.192883;9.80455;0.002307;-0.001078;0.001975;2014-09-09 18:27:33:700
0.021249;0.238971;9.87698;-0.034117;0.037709;0.072574;0.055366;0.201263;9.80441;0.000227;-0.001096;-0.000166;2014-09-09 18:27:34:100
0.009278;0.231789;9.83867;-0.045639;0.026187;0.034417;0.054917;0.205602;9.80425;-0.002969;0.002099;-0.000166;2014-09-09 18:27:34:700
-0.007482;0.234183;9.87938;-0.064344;0.021099;0.075268;0.056862;0.213084;9.80411;0.000227;0.001034;0.0009;2014-09-09 18:27:35:100
-0.009876;0.246154;9.88416;-0.065841;0.028581;0.080206;0.055964;0.217573;9.80396;-0.000788;-4.9e-005;0.00089;2014-09-09 18:27:35:700
-0.017059;0.234183;9.84585;-0.070629;0.010175;0.042048;0.05357;0.224008;9.80381;0.000322;-0.002196;0.001947;2014-09-09 18:27:36:100
0.004489;0.224606;9.8674;-0.046088;-0.004339;0.063596;0.050578;0.228946;9.80381;-0.001782;-0.003271;0.000876;2014-09-09 18:27:36:700
-0.041001;0.219818;9.85064;-0.089483;-0.013318;0.046986;0.048483;0.233135;9.80366;0.00486;-0.002896;-0.001931;2014-09-09 18:27:37:100
-0.000299;0.212635;9.88177;-0.034866;-0.022146;0.078111;0.034566;0.234781;9.80366;0.000599;-0.000766;-0.000866;2014-09-09 18:27:37:700
-0.033818;0.200664;9.89613;-0.057461;-0.038008;0.092476;0.023643;0.238672;9.80366;0.000599;0.003495;0.0002;2014-09-09 18:27:38:100
-0.002693;0.229394;9.86022;-0.018405;-0.008529;0.056563;0.015712;0.237924;9.80366;0.001664;0.0003;0.001265;2014-09-09 18:27:38:700
0.002095;0.229394;9.86501;-0.004788;-0.00808;0.061351;0.006883;0.237475;9.80366;-0.002597;0.001365;-0.000866;2014-09-09 18:27:39:100
0.023643;0.222212;9.83867;0.0208;-0.013018;0.034866;0.002843;0.23523;9.80381;-0.000466;0.003495;0.0002;2014-09-09 18:27:39:700
-0.007482;0.248548;9.87938;-0.005387;0.011672;0.075717;-0.002095;0.236876;9.80366;0.000599;0.001365;-0.001931;2014-09-09 18:27:40:100
0.009278;0.210241;9.84107;0.013767;-0.025588;0.03726;-0.004489;0.235829;9.80381;0.001664;0.0003;0.001265;2014-09-09 18:27:40:700
0.006883;0.229394;9.81712;0.015712;-0.00419;0.013318;-0.008829;0.233584;9.80381;-0.001531;0.0003;0.0002;2014-09-09 18:27:41:100
0.01646;0.231789;9.81712;0.026935;-0.003741;0.013318;-0.010475;0.23553;9.80381;0.000599;0.004561;-0.001931;2014-09-09 18:27:41:700
-0.052972;0.238971;9.87698;-0.036362;0.001496;0.073322;-0.01661;0.237475;9.80366;-0.000466;0.0003;-0.000866;2014-09-09 18:27:42:100
-0.021847;0.222212;9.89853;-0.002544;-0.017657;0.09487;-0.019303;0.239869;9.80366;-0.001531;0.0003;-0.000866;2014-09-09 18:27:42:700
-0.017059;0.207847;9.86022;0.003591;-0.031424;0.056563;-0.02065;0.239271;9.80366;0.001664;0.000732;-0.000399;2014-09-09 18:27:43:100
0.004489;0.260519;9.87219;0.027833;0.025738;0.068384;-0.023343;0.234781;9.80381;0.00486;0.001798;-0.000399;2014-09-09 18:27:43:700
0.026037;0.224606;9.85064;0.046388;-0.01242;0.046986;-0.020351;0.237026;9.80366;0.001664;-0.002463;0.000666;2014-09-09 18:27:44:100
-0.02903;0.212635;9.86022;-0.008829;-0.025289;0.056563;-0.020201;0.237924;9.80366;-0.002597;0.003928;-0.000399;2014-09-09 18:27:44:700
-0.021847;0.217423;9.82431;-0.002993;-0.018705;0.02065;-0.018854;0.236128;9.80366;-0.001531;-0.002463;0.001731;2014-09-09 18:27:45:100
-0.009876;0.229394;9.91289;0.007183;-0.004938;0.109086;-0.017059;0.234332;9.80381;-0.000466;0.001798;-0.000399;2014-09-09 18:27:45:700
-0.024241;0.222212;9.80276;-0.007033;-0.009876;-0.001047;-0.017208;0.232088;9.80381;-0.001531;0.000732;-0.000399;2014-09-09 18:27:46:100
-0.002693;0.212635;9.8674;0.012719;-0.017358;0.063596;-0.015413;0.229993;9.80381;-0.000466;-0.001398;-0.000399;2014-09-09 18:27:46:700
-0.024241;0.205452;9.84825;-0.009278;-0.027533;0.044442;-0.014964;0.232986;9.80381;-0.000466;0.001798;-0.001465;2014-09-09 18:27:47:100
-0.000299;0.253336;9.85304;0.017059;0.020201;0.049231;-0.017358;0.233135;9.80381;-0.000466;0.000732;-0.000399;2014-09-09 18:27:47:700
