ACCELERATION X,ACCELERATION Y,ACCELERATION Z,LINEAR_ACCELERATION X,LINEAR_ACCELERATION Y,LINEAR_ACCELERATION Z,GRAVITY X,GRAVITY Y,GRAVITY Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,Year,Month,Day,Hour,Minute,Second,Millisecond,Date
-0.132729,3.202993,9.571120,-0.140809,3.031209,-0.233884,0.008080,0.171784,9.805004,0.034286,-0.017821,-0.018231,2014,10,8,14,36,31,0,2014-10-08 14:36:31:604
-0.077662,3.286790,9.389161,-0.140809,3.031209,-0.233884,0.008080,0.171784,9.805004,0.034286,-0.017821,-0.018231,2014,10,8,14,36,31,0,2014-10-08 14:36:31:606
-0.077662,3.286790,9.389161,-0.085742,3.115006,-0.415843,0.008080,0.171784,9.805004,0.034286,-0.017821,-0.018231,2014,10,8,14,36,31,0,2014-10-08 14:36:31:619
-0.085742,3.115006,-0.415843,-0.085742,3.115006,-0.415843,0.008080,0.171784,9.805004,0.034286,-0.017821,-0.018231,2014,10,8,14,36,31,0,2014-10-08 14:36:31:622
-0.085742,3.115006,-0.415843,-0.085742,3.115006,-0.415843,0.008080,0.171784,9.805004,0.046003,-0.038061,-0.000121,2014,10,8,14,36,31,0,2014-10-08 14:36:31:799
3.252673,5.209334,2.977489,-0.085742,3.115006,-0.415843,0.008080,0.171784,9.805004,0.046003,-0.038061,-0.000121,2014,10,8,14,36,31,0,2014-10-08 14:36:31:801
3.252673,5.209334,2.977489,3.380164,2.032528,-6.299294,0.008080,0.171784,9.805004,0.046003,-0.038061,-0.000121,2014,10,8,14,36,31,0,2014-10-08 14:36:31:809
3.380164,2.032528,-6.299294,3.380164,2.032528,-6.299294,-0.127491,3.176806,9.276783,0.046003,-0.038061,-0.000121,2014,10,8,14,36,31,0,2014-10-08 14:36:31:812
3.380164,2.032528,-6.299294,3.380164,2.032528,-6.299294,-0.127491,3.176806,9.276783,-0.386494,0.139838,-0.736219,2014,10,8,14,36,32,0,2014-10-08 14:36:32:8
14.574853,-2.646042,1.263241,3.380164,2.032528,-6.299294,-0.127491,3.176806,9.276783,-0.386494,0.139838,-0.736219,2014,10,8,14,36,32,0,2014-10-08 14:36:32:10
