ACCELERATION X,ACCELERATION Y,ACCELERATION Z,LINEAR_ACCELERATION X,LINEAR_ACCELERATION Y,LINEAR_ACCELERATION Z,GRAVITY X,GRAVITY Y,GRAVITY Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,Year,Month,Day,Hour,Minute,Second,Millisecond,Date
0.003741,0.138864,9.896732,-0.051625,0.008080,0.091129,0.055366,0.130783,9.805603,0.001864,0.000666,-0.000999,2014,10,13,16,27,21,498,2014-10-13 16:27:21:498,
0.051625,0.129287,9.951798,0.027683,-0.025289,0.146495,0.023942,0.154576,9.805304,0.002929,0.001731,-0.000999,2014,10,13,16,27,22,15,2014-10-13 16:27:22:15,
0.037260,0.126893,9.858425,0.008679,-0.028431,0.053121,0.028581,0.155324,9.805304,0.001864,0.001731,0.000067,2014,10,13,16,27,22,533,2014-10-13 16:27:22:533,
0.051625,0.126893,9.956587,0.021997,-0.026486,0.151284,0.029628,0.153379,9.805304,-0.000266,0.003862,0.001132,2014,10,13,16,27,23,58,2014-10-13 16:27:23:58,
0.010924,0.138864,9.891944,-0.022446,-0.017208,0.086640,0.033369,0.156072,9.805304,0.002929,0.000666,-0.000999,2014,10,13,16,27,23,576,2014-10-13 16:27:23:576,
0.044442,0.124498,9.937433,0.015113,-0.033818,0.132130,0.029329,0.158317,9.805304,0.001864,0.000666,0.000067,2014,10,13,16,27,24,94,2014-10-13 16:27:24:94,
0.051625,0.155623,9.982924,0.019902,-0.002245,0.177620,0.031723,0.157868,9.805304,0.000799,0.002796,0.001132,2014,10,13,16,27,24,613,2014-10-13 16:27:24:613,
0.051625,0.102951,9.860819,0.019303,-0.057910,0.055665,0.032322,0.160860,9.805154,0.000799,-0.001465,0.001132,2014,10,13,16,27,25,132,2014-10-13 16:27:25:132,
0.015712,0.098162,9.896732,-0.020650,-0.057610,0.091429,0.036362,0.155773,9.805304,0.003995,0.000666,0.000067,2014,10,13,16,27,25,651,2014-10-13 16:27:25:651,
0.037260,0.146046,9.889549,0.003591,-0.005088,0.084246,0.033668,0.151134,9.805304,0.000799,-0.000399,-0.000999,2014,10,13,16,27,26,169,2014-10-13 16:27:26:169,
0.065990,0.119710,9.853637,0.030376,-0.035015,0.048333,0.035614,0.154725,9.805304,0.001864,-0.000399,0.001132,2014,10,13,16,27,26,687,2014-10-13 16:27:26:687,
0.034866,0.148441,9.915886,-0.006734,-0.005836,0.110582,0.041599,0.154276,9.805304,0.001864,-0.003595,-0.000999,2014,10,13,16,27,27,206,2014-10-13 16:27:27:206,
